SC_ALL_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_all_p2,9,4,0,0,0,0
SC_all_p2,7,3,0,34154,34154,0
SC_all_p2,8,2,0,233414,233414,0
SC_all_p2,7,0,0,0,0,0
SC_all_p2,4,2,0,367365,367365,0
SC_all_p2,4,0,0,0,0,0
SC_all_p2,8,3,0,14899,14899,0
SC_all_p2,5,2,0,233414,233414,0
SC_all_p2,6,2,0,284344,284344,0
SC_all_p2,11,2.5,0.5,117050.5,117050.5,116363.5
SC_all_p2,12,1.666666667,0.471404521,428342.6667,428342.6667,189035.7218
SC_all_p2,13,2,0,258879,258879,25465
SC_all_p2,9,2,0,233414,233414,0
SC_all_p2,10,1,0,684249,684249,0
SC_all_p2,6,2,0,284344,284344,0
SC_all_p2,8,3,0,5240,5240,0
SC_all_p2,8,2,0,116900.5,116900.5,116513.5
SC_all_p2,5,2,0,284344,284344,0
SC_all_p2,12,2.5,0.5,147649.5,147649.5,136694.5
SC_all_p2,5,2,0,367365,367365,0
SC_all_p2,6,1.5,0.5,345843,345843,338406
SC_all_p2,10,2,0,685,685,647
SC_all_p2,14,2,0,207586.6667,207586.6667,142180.2031
SC_all_p2,13,2.5,0.5,116852,116852,116562
SC_all_p2,8,2,0,233414,233414,0
SC_all_p2,5,2,0,367365,367365,0
SC_all_p2,6,2,0,284344,284344,0
SC_all_p2,10,2,0,233414,233414,0
SC_all_p2,4,0,0,0,0,0
SC_all_p2,10,2,0,123986.5,123986.5,109427.5
SC_all_p2,5,2,0,233414,233414,0
SC_all_p2,6,0,0,0,0,0
SC_all_p2,4,2,0,284344,284344,0
SC_all_p2,55,2.272727273,0.616575453,177442.9091,177442.9091,206553.9836
SC_all_p2,19,2,0,325854.5,325854.5,41510.5
SC_all_p2,42,2,1,337432.3333,337432.3333,279597.3634
SC_all_p2,51,2.25,1.233220716,25615.45455,25615.45455,32337.20129
SC_all_p2,19,3.25,1.089724736,23952.5,23952.5,10201.5
SC_all_p2,21,3,1.224744871,10244,10244,14056.83314
SC_all_p2,6,2,0,367365,367365,0
SC_all_p2,15,2.5,0.5,200494.5,200494.5,166870.5
SC_all_p2,10,2.5,0.5,200494.5,200494.5,166870.5
SC_all_p2,19,2.2,1.6,177680,177680,292519.0058
SC_all_p2,10,2,1,45648.5,45648.5,45289.5
SC_all_p2,25,3,0,33605.33333,33605.33333,12489.13868
SC_all_p2,42,1.75,0.433012702,19685.25,19685.25,16274.90501
SC_all_p2,23,2.2,1.720465053,36946.75,36946.75,42050.21258
SC_all_p2,41,2.428571429,1.293626448,56894.83333,56894.83333,84304.84891
SC_all_p2,8,3,0,34154,34154,0
SC_all_p2,23,2.666666667,0.471404521,6999,6999,8176.163893
SC_all_p2,27,2.428571429,1.399708424,169749.2857,169749.2857,242170.6326
SC_all_p2,61,2.545454545,1.37269717,93698.2,93698.2,199992.7717
SC_all_p2,53,2.7,1.268857754,68120.875,68120.875,115950.5523
SC_all_p2,34,2.625,0.992156742,63346.42857,63346.42857,94113.83757
SC_all_p2,7,2,0,18261,18261,0
SC_all_p2,7,2,0,233414,233414,0
SC_all_p2,3,1,0,81912,81912,0
SC_all_p2,7,2,0,18261,18261,0
SC_all_p2,5,2,0,233414,233414,0
SC_all_p2,6,2,0,77833.5,77833.5,44527.5
SC_all_p2,5,3,0,33624,33624,0
SC_all_p2,4,2,0,11573,11573,0
SC_all_p2,7,2,0,233414,233414,0
SC_all_p2,5,2,0,233414,233414,0
SC_all_p2,7,3,0,18300,18300,0
SC_all_p2,7,2,0,18261,18261,0
SC_all_p2,5,2,0,233414,233414,0
SC_all_p2,4,2,0,11573,11573,0
SC_all_p2,7,2,0,18261,18261,0
SC_all_p2,7,1,1,168991.5,168991.5,64422.5
SC_all_p2,5,2,0,11573,11573,0
SC_all_p2,7,2,0,18261,18261,0
SC_all_p2,6,2,0,233414,233414,0
SC_all_p2,3,1,0,26747,26747,0
SC_all_p2,6,2,0,233414,233414,0
SC_all_p2,4,1,0,26747,26747,0
SC_all_p2,11,2,0,18261,18261,0
SC_all_p2,6,2,0,233414,233414,0
SC_all_p2,7,2,0,233414,233414,0
SC_all_p2,7,2,0,367365,367365,0
SC_all_p2,5,3,0,33624,33624,0
SC_all_p2,7,2,0,275,275,0
SC_all_p2,7,3,0,18300,18300,0
SC_all_p2,4,2,0,233414,233414,0
SC_all_p2,4,2,0,261,261,0
SC_all_p2,5,2,0,11206,11206,0
SC_all_p2,11,3,0,1992,1992,0
SC_all_p2,7,2,0,233414,233414,0
SC_all_p2,6,2,0,133,133,0
SC_all_p2,8,2,0,122310,122310,111104
SC_all_p2,8,3,0,51543,51543,0
SC_all_p2,7,2,0,18261,18261,0
SC_all_p2,3,1,0,81912,81912,0
SC_all_p2,4,2,0,27837,27837,0
SC_all_p2,5,2,0,11206,11206,0
SC_all_p2,4,1.5,0.5,385069.5,385069.5,299179.5
SC_all_p2,7,3,0,18300,18300,0
SC_all_p2,12,2,0,5107,5107,0
SC_all_p2,9,2,0,11206,11206,0
SC_all_p2,9,2,0,15628.5,15628.5,15468.5
SC_all_p2,7,3,0,18300,18300,0
SC_all_p2,7,2,0,233414,233414,0
SC_all_p2,5,2,0,27837,27837,0
SC_all_p2,5,2,0,11206,11206,0
SC_all_p2,11,5,0,0,0,0
SC_all_p2,18,2.333333333,0.471404521,13601.66667,13601.66667,14158.21515
SC_all_p2,5,1,0,81912,81912,0
SC_all_p2,4,2,0,27837,27837,0
SC_all_p2,8,2,0,11206,11206,0
SC_all_p2,10,4,0,0,0,0
SC_all_p2,8,3,0,18300,18300,0
SC_all_p2,5,2,0,27837,27837,0
SC_all_p2,6,2,0,11206,11206,0
SC_all_p2,8,2,0,47250.5,47250.5,38639.5
SC_all_p2,10,2,0,300389.5,300389.5,66975.5
SC_all_p2,3,1,0,81912,81912,0
SC_all_p2,5,2,0,27837,27837,0
SC_all_p2,5,2,0,11206,11206,0
SC_all_p2,7,3,0,1411,1411,0
SC_all_p2,7,2,0,18261,18261,0
SC_all_p2,5,1,0,81912,81912,0
SC_all_p2,9,2,0,27837,27837,0
SC_all_p2,6,2,0,233414,233414,0
SC_all_p2,7,2,0,43502,43502,42388
SC_all_p2,8,3,0,18300,18300,0
SC_all_p2,3,1,0,81912,81912,0
SC_all_p2,3,2,0,367365,367365,0
SC_all_p2,3,2,0,11573,11573,0
SC_all_p2,21,3.5,0.5,24514.5,24514.5,24377.5
SC_all_p2,18,2.25,0.433012702,188123.5,128376.3333,179297.2722
SC_all_p2,20,2.5,1.118033989,228160.3333,228160.3333,322503.3904
SC_all_p2,54,2.071428571,0.883522634,107024.3571,107024.3571,236188.0274
SC_all_p2,24,1.5,0.5,192959,192959,284125.7022
SC_all_p2,23,1.666666667,0.745355993,51469,53785.4,29689.7841
SC_all_p2,8,2,0,233414,233414,0
SC_all_p2,9,3,0,138,138,0
SC_all_p2,8,2,0,284344,284344,0
SC_all_p2,4,2,0,284344,284344,0
SC_all_p2,11,2,0,284344,284344,0
SC_all_p2,11,3,1,233414,233414,0
SC_all_p2,10,5,0,0,0,0
SC_all_p2,12,2,0,325854.5,325854.5,41510.5
SC_all_p2,10,2,0,284344,284344,0
SC_all_p2,7,3,0,58,58,0
SC_all_p2,4,2,0,367365,367365,0
SC_all_p2,4,2,0,233414,233414,0
SC_all_p2,9,2,1,58033,58033,23879
SC_all_p2,8,2,0,117064,117064,116350
SC_all_p2,12,2.666666667,1.247219129,236831.3333,236831.3333,316515.9297
SC_all_p2,19,3.333333333,1.247219129,96314.66667,96314.66667,132964.9213
SC_all_p2,18,2.666666667,0.471404521,151844,151844,93691.64851
SC_all_p2,9,2,0,233414,233414,0
SC_all_p2,8,3,0,138,138,0
SC_all_p2,7,2,0,284344,284344,0
