SC_BGT_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_BGT_p2,33,2.5,0.763762616,157525.6,157525.6,265227.2788
SC_BGT_p2,67,2.384615385,0.835598499,202825.2,202825.2,220352.7321
SC_BGT_p2,10,1.25,0.829156198,240149.5,291569.3333,256514.3391
SC_BGT_p2,24,1.666666667,0.471404521,365331.1667,421219.4,247034.059
SC_BGT_p2,30,1.857142857,0.638876565,294732.2857,329539.3333,261434.8442
SC_BGT_p2,46,2.625,0.695970545,84958.875,84958.875,129420.8444
SC_BGT_p2,23,2.4,1.019803903,175615.6,175615.6,256621.1707
SC_BGT_p2,39,1.7,0.458257569,314173.9,366636.6667,267782.5004
SC_BGT_p2,84,2.222222222,0.974996043,201403.2778,154006.7692,239565.2561
SC_BGT_p2,236,2.583333333,0.953793595,115258.9706,92102.32143,168414.3351
SC_BGT_p2,81,2.5,1,104923.3125,104923.3125,190612.1472
SC_BGT_p2,52,2.444444444,1.065740339,190960.125,216244.1429,285731.804
SC_BGT_p2,95,2.8,1.326649916,139248.25,97275.8,245334.7315
SC_BGT_p2,227,2.514285714,1.078926148,151430.0313,153060.7931,228669.5971
SC_BGT_p2,68,2.222222222,1.030402055,110708.5,122979.8571,218235.5615
SC_BGT_p2,90,2.133333333,0.805536398,133402.5385,147656.3,179510.2308
SC_BGT_p3,64,2.583333333,0.862006703,173654.9091,167679,206437.1176
SC_BGT_p3,366,2.586956522,1.226094665,165599.6667,153554.641,252336.4155
SC_BGT_p3,180,2.65625,1.07846462,122275.5,110699.1786,187204.175
SC_BGT_p3,197,2.615384615,1.076923077,140026.5217,126282,192150.5985
SC_BGT_p3,132,2.636363636,1.188790621,107165,79684.80952,204842.6441
SC_BGT_p3,138,2.95,1.395528574,103620.4706,92325.25,175167.5973
SC_BGT_p3,133,2.65,1.061838029,104269.8947,83084.70588,169263.7552
SC_BGT_p3,70,2.818181818,0.935966376,89523.77778,89523.77778,121344.5226
SC_BGT_p3,145,2.583333333,1.114924013,108048.4167,82996.21739,198955.5508
