SC_WLL_Plvl,nwords,cl_av_deps,cl_ndeps_std_dev,acad_av_construction_freq,acad_av_construction_freq_type,acad_av_construction_freq_stdev
SC_WLL_p2,41,2.428571429,1.293626448,56894.83333,56894.83333,84304.84891
SC_WLL_p2,61,2.545454545,1.37269717,93698.2,93698.2,199992.7717
SC_WLL_p2,19,3,0.816496581,97806.66667,97806.66667,131933.5143
SC_WLL_p2,11,3,0,32,32,0
SC_WLL_p2,24,2.75,1.299038106,47531,47531,53183.45384
SC_WLL_p2,15,3,0,32,32,0
SC_WLL_p2,12,3,0,32,32,0
SC_WLL_p2,28,2.4,0.489897949,154369.2,154369.2,174012.544
SC_WLL_p2,34,2.666666667,0.471404521,97525.33333,60161.6,132131.17
SC_WLL_p2,74,2.25,0.721687836,79278.5,79278.5,109453.9536
SC_WLL_p2,62,1.846153846,0.53293871,226594.3846,197780.7273,270194.5498
SC_WLL_p2,60,1.916666667,0.493006649,235612.25,223634.7273,196118.035
SC_WLL_p2,70,1.846153846,0.948371385,150528.5385,143621.4167,139676.4273
SC_WLL_p2,67,2.384615385,0.835598499,202825.2,202825.2,220352.7321
SC_WLL_p2,19,1.8,0.748331477,169296.8,169296.8,258845.898
SC_WLL_p2,19,2,0.707106781,37632.5,37632.5,32659.64247
SC_WLL_p2,28,2.5,1.5,138957.1667,138957.1667,245720.0482
SC_WLL_p2,33,1.875,1.053268722,198592.25,198592.25,282155.0833
SC_WLL_p2,20,1.333333333,0.471404521,41463,41463,36141.36274
SC_WLL_p2,21,2.5,1.5,37281.25,37281.25,33045.75453
SC_WLL_p2,20,2.333333333,0.471404521,140625,140625,161624.5047
SC_WLL_p2,24,2.333333333,1.247219129,36296.8,36296.8,29097.80062
SC_WLL_p2,26,2.333333333,1.105541597,136853.3333,136853.3333,246668.4767
SC_WLL_p2,108,3,0.577350269,64203.25,64203.25,111504.272
SC_WLL_p2,8,3,0,143,143,0
SC_WLL_p2,5,2,0,144,144,0
SC_WLL_p2,5,2,0,27837,27837,0
SC_WLL_p2,7,3,0,862,862,0
SC_WLL_p2,6,2,0,23234,23234,0
SC_WLL_p2,6,2,0,23234,23234,0
SC_WLL_p2,5,2,0,367365,367365,0
SC_WLL_p2,28,3.25,0.829156198,123392.6667,123392.6667,119024.7176
SC_WLL_p2,28,3.2,1.469693846,350648.6667,350648.6667,279458.0381
SC_WLL_p2,46,2.625,0.695970545,84958.875,84958.875,129420.8444
SC_WLL_p2,83,2.571428571,0.728431359,123254.5,113240,188180.4534
SC_WLL_p2,59,2,0.912870929,131460.9167,131460.9167,150451.342
SC_WLL_p2,74,2.6,1.143095213,129568.8462,129568.8462,203649.5433
SC_WLL_p2,39,1.7,0.458257569,314173.9,366636.6667,267782.5004
SC_WLL_p2,84,2.222222222,0.974996043,201403.2778,154006.7692,239565.2561
SC_WLL_p2,17,2,0,188948.5,188948.5,178416.5
SC_WLL_p2,33,3,0.894427191,100386.5,100386.5,154547.7515
SC_WLL_p2,30,2.2,1.720465053,210841,210841,275704.7306
SC_WLL_p2,41,2.285714286,1.484614978,143886.8333,143886.8333,161758.3877
SC_WLL_p2,15,3.5,0.5,1917,1917,0
SC_WLL_p2,12,4,0,0,0,0
SC_WLL_p2,10,3,0,33624,33624,0
SC_WLL_p2,9,2,0,901,901,0
SC_WLL_p2,32,2.2,1.469693846,166619,166619,260505.1294
SC_WLL_p2,30,2.2,0.979795897,103673.6,103673.6,135018.1877
SC_WLL_p2,236,2.583333333,0.953793595,115258.9706,92102.32143,168414.3351
SC_WLL_p2,17,3,0.816496581,30158.66667,30158.66667,39731.22156
SC_WLL_p2,57,2.625,0.484122918,96669.75,77134.85714,120051.6029
SC_WLL_p2,36,3.142857143,1.124858268,63719,63719,135890.9006
